name,type
affilia-journal of women and social work,0.707
afinidad,0.289
africa,0.649
africa spectrum,0.5
african affairs,2.577
african and asian studies,0.2
african development review-revue africaine de developpement,1
african entomology,0.813
african health sciences,0.635
african journal of aquatic science,0.67
african journal of ecology,0.69
african journal of herpetology,0.5
african journal of library archives and information science,0.179
african journal of marine science,1.229
african journal of range & forage science,0.961
african journal of reproductive health,0.7
african journal of wildlife research,0.312
african journalism studies,0.171
african natural history,0.4
african studies,0.34
african studies review,0.745
african zoology,0.6
africana linguistica,0.077
age,2.123
age and ageing,4.282
ageing & society,1.386
ageing research reviews,7.452
aggression and violent behavior,1.928
aggressive behavior,2.747
aging & mental health,2.658
aging and disease,4.648
aging cell,6.714
aging clinical and experimental research,1.394
aging male,2.108
aging neuropsychology and cognition,1.763
aging-us,4.867
agrekon,0.224
agribusiness,0.939
agricultural and food science,0.86
agricultural and forest entomology,1.726
agricultural and forest meteorology,3.887
agricultural economics,1.758
agricultural economics-zemedelska ekonomika,0.789
agricultural history,0.163
agricultural systems,2.571
agricultural water management,2.848
agriculture and human values,2.337
agriculture ecosystems & environment,4.099
agro food industry hi-tech,0.299
agrochimica,0.45
agrociencia,0.264
agroecology and sustainable food systems,0.911
agroforestry systems,1.17
agronomy for sustainable development,4.101
agronomy journal,1.614
ai communications,0.654
ai edam-artificial intelligence for engineering design analysis and manufacturing,0.803
ai magazine,0.812
aiaa journal,1.638
aibr-revista de antropologia iberoamericana,0.077
aiche journal,2.836
aids,5.003
aids and behavior,2.916
aids care-psychological and socio-medical aspects of aids/hiv,1.824
aids education and prevention,1.671
aids patient care and stds,3.236
aids research and human retroviruses,2.095
aids research and therapy,1.605
aids reviews,3.195
aip advances,1.568
air quality atmosphere and health,3.184
aircraft engineering and aerospace technology,0.519
ajar-african journal of aids research,0.861
ajidd-american journal on intellectual and developmental disabilities,1.667
aktuelle rheumatologie,0.134
aktuelle urologie,0.306
alcheringa,1.216
alcohol,2.778
alcohol and alcoholism,2.757
alcohol research-current reviews,2.378
alcoholism-clinical and experimental research,2.716
aldrichimica acta,8.182
alea-latin american journal of probability and mathematical statistics,0.382
algae,1.367
algal research-biomass biofuels and bioproducts,3.994
algebra & number theory,0.912
algebra and logic,0.414
algebra colloquium,0.343
algebra universalis,0.625
algebraic and geometric topology,0.626
algebras and representation theory,0.621
algorithmica,0.735
algorithms for molecular biology,1.786
alimentary pharmacology & therapeutics,7.286
allelopathy journal,1.05
allergologia et immunopathologia,1.439
allergologie,0.311
allergology international,3.194
allergy,7.361
allergy and asthma proceedings,2.614
allergy asthma & immunology research,2.957
allergy asthma and clinical immunology,2.869
allgemeine forst und jagdzeitung,0.175
alpine botany,2.281
alternative therapies in health and medicine,1.247
alternatives,0.364
altex-alternatives to animal experimentation,3.825
alzheimer disease & associated disorders,2.395
alzheimers & dementia,9.478
alzheimers research & therapy,6.196
ama-agricultural mechanization in asia africa and latin america,0.118
amb express,1.825
ambio,3.687
ambix,0.212
ameghiniana,1.194
american annals of the deaf,1.024
american anthropologist,1.58
american antiquity,1.305
american bankruptcy law journal,0.5
american behavioral scientist,1.311
american biology teacher,0.318
american business law journal,0.857
american ceramic society bulletin,0.607
american criminal law review,0.544
american economic journal-applied economics,3.36
american economic journal-economic policy,3.133
american economic journal-macroeconomics,2.909
american economic journal-microeconomics,1.446
american economic review,4.026
american educational research journal,2.931
american ethnologist,1.956
american family physician,1.822
american fern journal,0.857
american heart journal,4.436
american historical review,1.145
american indian and alaska native mental health research,1.062
american journal of agricultural economics,1.829
american journal of alzheimers disease and other dementias,1.864
american journal of audiology,1.076
american journal of bioethics,6.434
american journal of botany,3.05
american journal of cancer research,3.264
american journal of cardiology,3.398
american journal of cardiovascular drugs,2.768
american journal of chinese medicine,3.222
american journal of clinical dermatology,2.755
american journal of clinical hypnosis,1.269
american journal of clinical nutrition,6.926
american journal of clinical oncology-cancer clinical trials,3.259
american journal of clinical pathology,2.4
american journal of community psychology,2.108
american journal of comparative law,1.327
american journal of critical care,1.883
american journal of dentistry,0.76
american journal of dermatopathology,1.095
american journal of drug and alcohol abuse,2.161
american journal of economics and sociology,0.446
american journal of education,0.949
american journal of emergency medicine,1.494
american journal of enology and viticulture,1.721
american journal of epidemiology,4.825
american journal of evaluation,1.356
american journal of family therapy,0.5
american journal of forensic medicine and pathology,0.648
american journal of gastroenterology,9.566
american journal of geriatric psychiatry,2.868
american journal of health behavior,1.479
american journal of health economics,1.3
american journal of health promotion,2.586
american journal of hematology,5.275
american journal of hospice & palliative medicine,1.283
american journal of human biology,1.78
american journal of human genetics,9.025
american journal of hypertension,3.541
american journal of industrial medicine,1.732
american journal of infection control,2.209
american journal of international law,1.851
american journal of kidney diseases,7.623
american journal of law & medicine,0.732
american journal of managed care,1.321
american journal of mathematics,1.056
american journal of medical genetics part a,2.259
american journal of medical genetics part b-neuropsychiatric genetics,3.258
american journal of medical genetics part c-seminars in medical genetics,5.6
american journal of medical quality,1.688
american journal of medicine,5.55
american journal of mens health,2.141
american journal of nephrology,2.542
american journal of neuroradiology,3.55
american journal of nursing,1.663
american journal of obstetrics and gynecology,5.574
american journal of occupational therapy,2.053
american journal of ophthalmology,5.052
american journal of orthodontics and dentofacial orthopedics,1.472
american journal of orthopsychiatry,1.692
american journal of otolaryngology,1.033
american journal of pathology,4.057
american journal of perinatology,1.455
american journal of pharmaceutical education,1.109
american journal of physical anthropology,2.552
american journal of physical medicine & rehabilitation,1.734
american journal of physics,1.069
american journal of physiology-cell physiology,3.602
american journal of physiology-endocrinology and metabolism,4.142
american journal of physiology-gastrointestinal and liver physiology,3.468
american journal of physiology-heart and circulatory physiology,3.348
american journal of physiology-lung cellular and molecular physiology,4.281
american journal of physiology-regulatory integrative and comparative physiology,2.982
american journal of physiology-renal physiology,3.611
american journal of political science,5.044
american journal of potato research,0.944
american journal of preventive medicine,4.02
american journal of primatology,2.005
american journal of psychiatry,14.176
american journal of psychology,0.629
american journal of public health,3.858
american journal of reproductive immunology,3.013
american journal of respiratory and critical care medicine,13.204
american journal of respiratory cell and molecular biology,4.1
american journal of rhinology & allergy,1.955
american journal of roentgenology,2.778
american journal of science,4.099
american journal of sociology,3.088
american journal of speech-language pathology,1.171
american journal of sports medicine,5.673
american journal of surgery,2.612
american journal of surgical pathology,5.363
american journal of the medical sciences,1.847
american journal of therapeutics,1.588
american journal of translational research,2.829
american journal of transplantation,6.165
american journal of tropical medicine and hygiene,2.549
american journal of veterinary research,1.004
american journal on addictions,1.873
american laboratory,0.083
american law and economics review,0.75
american malacological bulletin,0.911
american mathematical monthly,0.271
american midland naturalist,0.636
american mineralogist,2.021
american museum novitates,0.873
american naturalist,4.167
american political science review,3.316
american politics research,0.888
american psychologist,6.681
american review of public administration,1.438
american scientist,0.856
american sociological review,4.4
american speech,0.211
american statistician,0.646
american surgeon,0.7
americas,0.229
amfiteatru economic,0.581
amino acids,3.173
amme idaresi dergisi,0
amphibian & reptile conservation,0.833
amphibia-reptilia,1.287
amyloid-journal of protein folding disorders,3.373
amyotrophic lateral sclerosis and frontotemporal degeneration,3.054
anadolu psikiyatri dergisi-anatolian journal of psychiatry,0.206
anaerobe,2.278
anaesthesia,4.741
anaesthesia and intensive care,1.695
anaesthesia critical care & pain medicine,1.542
anaesthesist,1.039
anais brasileiros de dermatologia,0.978
anais da academia brasileira de ciencias,0.861
analele stiintifice ale universitatii ovidius constanta-seria matematica,0.422
anales de pediatria,1.14
anales de psicologia,0.871
anales del jardin botanico de madrid,0.385
anales del sistema sanitario de navarra,0.625
analog integrated circuits and signal processing,0.623
analyses of social issues and public policy,1.022
analysis & pde,1.532
analysis and applications,1.823
analysis and mathematical physics,0.632
analysis mathematica,0.325
analyst,3.885
analytica chimica acta,4.95
analytical and bioanalytical chemistry,3.431
analytical and quantitative cytopathology and histopathology,0.454
analytical biochemistry,2.334
analytical cellular pathology,1.078
analytical chemistry,6.32
analytical letters,1.15
analytical methods,1.9
analytical sciences,1.228
anasthesiologie & intensivmedizin,2.227
anasthesiologie intensivmedizin notfallmedizin schmerztherapie,0.367
anatolian journal of cardiology,1.19
anatomia histologia embryologia,0.683
anatomical record-advances in integrative anatomy and evolutionary biology,1.431
anatomical science international,0.961
anatomical sciences education,3.198
andamios,0.014
andean geology,1.4
andrologia,1.458
andrology,2.427
anesthesia and analgesia,4.014
anesthesiology,5.66
angewandte chemie-international edition,11.994
angiogenesis,5.253
angiology,3.085
angle orthodontist,1.366
animal,1.921
animal behaviour,2.869
animal biodiversity and conservation,0.532
animal biology,0.574
animal biotechnology,0.75
animal cells and systems,0.376
animal cognition,2.209
animal conservation,2.835
animal feed science and technology,1.755
animal genetics,1.815
animal health research reviews,1.886
animal nutrition and feed technology,0.216
animal production science,1.371
animal reproduction,0.906
animal reproduction science,1.605
animal science journal,1.325
animal science papers and reports,0.725
animal welfare,1.462
ankara universitesi veteriner fakultesi dergisi,0.24
annalen der physik,3.039
annales academiae scientiarum fennicae-mathematica,0.856
annales botanici fennici,0.6
annales d endocrinologie,0.866
annales de biologie clinique,0.225
annales de chirurgie plastique esthetique,0.865
annales de dermatologie et de venereologie,0.637
annales de l institut fourier,0.47
annales de l institut henri poincare-analyse non lineaire,2.45
annales de l institut henri poincare-probabilites et statistiques,1.08
annales de la societe entomologique de france,0.513
annales de limnologie-international journal of limnology,1.161
annales de paleontologie,1.113
annales de pathologie,0.615
annales francaises d anesthesie et de reanimation,1.131
annales geophysicae,1.61
annales henri poincare,1.599
annales medico-psychologiques,0.222
annales polonici mathematici,0.387
annales scientifiques de l ecole normale superieure,1.908
annales societatis geologorum poloniae,0.833
annales zoologici,0.699
annales zoologici fennici,1.533
annali dell istituto superiore di sanita,0.899
annali della scuola normale superiore di pisa-classe di scienze,0.81
annali di matematica pura ed applicata,0.864
annals academy of medicine singapore,0.617
annals of agricultural and environmental medicine,0.829
annals of allergy asthma & immunology,3.728
annals of anatomy-anatomischer anzeiger,1.864
annals of animal science,0.731
annals of applied biology,2.046
annals of applied probability,1.506
annals of applied statistics,1.578
annals of behavioral medicine,2.976
annals of biomedical engineering,3.221
annals of botany,4.041
annals of carnegie museum,0.75
annals of clinical and laboratory science,0.727
annals of clinical and translational neurology,3.901
annals of clinical biochemistry,2.024
annals of clinical microbiology and antimicrobials,2.376
annals of clinical psychiatry,1.767
annals of combinatorics,0.544
annals of dermatology,1.472
annals of diagnostic pathology,1.734
annals of dyslexia,1.609
annals of economics and finance,0.59
annals of emergency medicine,4.728
annals of epidemiology,2.582
annals of family medicine,4.917
annals of forest research,0.811
annals of forest science,2.101
annals of functional analysis,0.477
annals of general psychiatry,1.405
annals of geophysics,0.915
annals of glaciology,2.349
annals of global analysis and geometry,0.713
annals of global health,1.833
annals of hematology,3.083
annals of hepatology,1.678
annals of human biology,1.24
annals of human genetics,1.659
annals of indian academy of neurology,0.95
annals of intensive care,3.656
annals of internal medicine,17.135
annals of laboratory medicine,2.174
annals of mathematics,3.921
annals of mathematics and artificial intelligence,0.807
annals of medicine,3.715
annals of microbiology,1.122
annals of neurology,9.89
annals of noninvasive electrocardiology,1.852
annals of nuclear energy,1.312
annals of nuclear medicine,1.396
annals of nutrition and metabolism,2.424
annals of occupational hygiene,1.71
annals of oncology,11.855
annals of operations research,1.709
annals of otology rhinology and laryngology,1.384
annals of pharmacotherapy,2.748
annals of physics,2.465
annals of plastic surgery,1.596
annals of probability,1.94
annals of pure and applied logic,0.647
annals of regional science,0.694
annals of saudi medicine,0.558
annals of science,0.294
annals of statistics,3.023
annals of surgery,8.98
annals of surgical oncology,4.041
annals of surgical treatment and research,1.491
annals of telecommunications,1.412
annals of the american academy of political and social science,2.118
annals of the association of american geographers,2.799
annals of the entomological society of america,1.222
annals of the institute of statistical mathematics,1.049
annals of the missouri botanical garden,2.838
annals of the new york academy of sciences,4.706
annals of the rheumatic diseases,12.811
annals of the royal college of surgeons of england,1.35
annals of thoracic and cardiovascular surgery,0.674
annals of thoracic medicine,1.529
annals of thoracic surgery,3.7
annals of tourism research,3.194
annals of transplantation,1.252
annals of vascular surgery,1.145
annee psychologique,0.358
annual reports in medicinal chemistry,0.704
annual reports on nmr spectroscopy,2.6
annual review of analytical chemistry,7.435
annual review of animal biosciences,4.708
annual review of anthropology,2.413
annual review of applied linguistics,2.083
annual review of astronomy and astrophysics,30.733
annual review of biochemistry,19.939
annual review of biomedical engineering,10.514
annual review of biophysics,10.676
annual review of cell and developmental biology,14.917
annual review of chemical and biomolecular engineering,5.571
annual review of clinical psychology,12.136
annual review of condensed matter physics,18.588
annual review of earth and planetary sciences,9.78
annual review of ecology evolution and systematics,10.182
annual review of economics,2.161
annual review of entomology,12.867
annual review of environment and resources,6.268
annual review of financial economics,1.415
annual review of fluid mechanics,14.02
annual review of food science and technology,7.31
annual review of genetics,8.745
annual review of genomics and human genetics,7.579
annual review of immunology,28.396
annual review of law and social science,1.78
annual review of linguistics,1.368
annual review of marine science,12.333
annual review of materials research,13.432
annual review of medicine,13.609
annual review of microbiology,9.415
annual review of neuroscience,15.63
annual review of nuclear and particle science,4.079
annual review of nutrition,9.054
annual review of organizational psychology and organizational behavior,6.956
annual review of pathology-mechanisms of disease,26.853
annual review of pharmacology and toxicology,12.877
annual review of physical chemistry,14.741
annual review of physiology,11.115
annual review of phytopathology,10.981
annual review of plant biology,22.808
annual review of political science,2.804
annual review of psychology,19.95
annual review of public health,10.228
annual review of resource economics,1.583
annual review of sociology,5.404
annual review of statistics and its application,3.108
annual review of virology,4.143
annual review of vision science,2.522
annual reviews in control,2.627
antarctic science,1.461
anthropological forum,0.744
anthropological notebooks,0.386
anthropological quarterly,1.603
anthropological science,0.971
anthropological theory,0.922
anthropologie,0.787
anthropologischer anzeiger,0.651
anthropology & education quarterly,0.673
anthropology & medicine,0.592
anthropology southern africa,0.535
anthropos,0.224
anthropozoologica,0.607
anthrozoos,1.071
anti-cancer agents in medicinal chemistry,2.598
anti-cancer drugs,2.32
anticancer research,1.937
anti-corrosion methods and materials,0.364
antimicrobial agents and chemotherapy,4.302
antimicrobial resistance and infection control,2.989
antioxidants & redox signaling,6.337
antipode,2.413
antiquity,1.536
antiviral research,4.271
antiviral therapy,2.594
antonie van leeuwenhoek international journal of general and molecular microbiology,1.795
anxiety stress and coping,2.042
anz journal of surgery,1.513
anziam journal,0.898
aob plants,2.238
aorn journal,0.753
aphasiology,1.626
apidologie,2.196
apl materials,4.335
apmis,1.795
apoptosis,3.833
appetite,3.403
appita,0.276
applicable algebra in engineering communication and computing,0.667
applicable analysis,0.923
applicable analysis and discrete mathematics,0.762
applications in plant sciences,1.492
applications of mathematics,0.618
applied acoustics,1.921
applied and computational harmonic analysis,2.634
applied and computational mathematics,1.333
applied and environmental microbiology,3.807
applied animal behaviour science,1.771
applied artificial intelligence,0.652
applied biochemistry and biotechnology,1.751
applied biochemistry and microbiology,0.659
applied bionics and biomechanics,0.943
applied catalysis a-general,4.339
applied catalysis b-environmental,9.446
applied categorical structures,0.523
applied clay science,3.101
applied clinical informatics,1.496
applied cognitive psychology,1.633
applied composite materials,1.217
applied computational electromagnetics society journal,0.444
applied developmental science,1.581
applied ecology and environmental research,0.681
applied economic perspectives and policy,1.361
applied economics,0.648
applied economics letters,0.478
applied energy,7.182
applied engineering in agriculture,0.505
applied entomology and zoology,0.888
applied ergonomics,1.866
applied geochemistry,2.581
applied geography,2.687
applied geophysics,0.796
applied immunohistochemistry & molecular morphology,1.634
applied intelligence,1.904
applied linguistics,3.593
applied linguistics review,0.351
applied magnetic resonance,0.864
applied mathematical modelling,2.35
applied mathematics and computation,1.738
applied mathematics and mechanics-english edition,1.205
applied mathematics and optimization,1.236
applied mathematics letters,2.233
applied mathematics-a journal of chinese universities series b,0.247
applied measurement in education,0.75
applied mechanics reviews,7.921
applied microbiology and biotechnology,3.42
applied nanoscience,3.325
applied neuropsychology-adult,0.728
applied neuropsychology-child,1.164
applied numerical mathematics,1.087
applied nursing research,1.379
applied ocean research,1.596
applied ontology,1.296
applied optics,1.65
applied organometallic chemistry,2.319
applied physics a-materials science & processing,1.455
applied physics b-lasers and optics,1.696
applied physics express,2.667
applied physics letters,3.411
applied physics reviews,13.667
applied physiology nutrition and metabolism,2.023
applied psycholinguistics,1.97
applied psychological measurement,0.885
applied psychology-an international review-psychologie appliquee-revue internationale,1.865
applied psychology-health and well being,2.722
applied psychophysiology and biofeedback,1.017
applied radiation and isotopes,1.128
applied research in quality of life,1.286
applied rheology,1.222
applied sciences-basel,1.679
applied soft computing,3.541
applied soil ecology,2.786
applied spatial analysis and policy,1.825
applied spectroscopy,1.529
applied spectroscopy reviews,4.254
applied stochastic models in business and industry,1.095
applied surface science,3.387
applied thermal engineering,3.356
applied vegetation science,2.474
aquacultural engineering,1.559
aquaculture,2.57
aquaculture environment interactions,2.905
aquaculture international,1.095
aquaculture nutrition,1.665
aquaculture research,1.461
aquatic biology,1.6
aquatic botany,1.714
aquatic conservation-marine and freshwater ecosystems,3.13
aquatic ecology,1.5
aquatic ecosystem health & management,0.742
aquatic geochemistry,1.982
aquatic insects,0.524
aquatic invasions,2.069
aquatic living resources,0.448
aquatic mammals,0.908
aquatic microbial ecology,1.633
aquatic sciences,2.821
aquatic toxicology,4.129
arab journal of gastroenterology,0.672
arabian journal for science and engineering,0.865
