eur. j. solid state inorg. chem.,european journal of solid state and inorganic chemistry
eur. mass spectrom.,european mass spectrometry
eur. polym. j.,european polymer journal
europhys. lett.,europhysics letters
exp. fluids,experiments in fluids
exp. therm fluid sci.,experimental thermal and fluid science
explor. min. geol.,exploration and mining geology
faraday discuss.,faraday discussions
faseb j.,faseb journal
fatigue fract. eng. mater. struct.,fatigue and fracture of engineering materials and structures
febs lett.,febs letters
fems immunol. med. microbiol.,fems immunology and medical microbiology
fems microbiol. ecol.,fems microbiology ecology
fems microbiol. lett.,fems microbiology letters
fems microbiol. rev.,fems microbiology review
ferroelectr. lett.,ferroelectrics letters
ferroelectr. rev.,ferroelectrics review
fett - lipid,fett - lipid
fiber integr. opt.,fiber and integrated optics
field anal. chem. technol.,field analytical chemistry and technology.
filtr. sep.,filtration and separation
fiz. met. metalloved.,fizika metallov i metallovedenie
fluid phase equilib.,fluid phase equilibria
fluid/part. sep. j.,fluid/particle separation journal
fold des.,folding and design
food addit. contam.,food additives and contaminants
food biotechnol.,food biotechnology
food chem.,food chemistry
food chem. toxicol.,food and chemical toxicology
food sci. technol. int.,food science and technology international
free radical biol. med.,free radical biology and medicine
free radical res.,free radical research
fresenius environ. bull.,fresenius environment bulletin
fresenius j. anal. chem.,fresenius journal of analytical chemistry
front sci. ser.,frontier science series
fuel process. technol.,fuel processing technology
fuel sci. technol. int.,fuel science and technology international
fullerene sci. technol.,fullerene science and technology
funct. integr. genomics,functional and integrative genomics
fundam. appl. toxicol.,fundamental and applied toxicology
fusion eng. des.,fusion engineering and design
fusion technol.,fusion technology
g, 
galvanotechnik,galvanotechnik
gas sep. purif.,gas separation and purification
gazz. chim. ital.,gazzetta chimica italiana
gefahrstoffe - reinhalt. luft,gefahrstoffe reinhaltung der luft
genet. anal. - biomol. eng.,genetic analysis - biomolecular engineering
geochem. geophys. geosyst.,geochemistry, geophysics, geosystems
geochem. j.,geochemical journal
geochem. trans.,geochemical transactions
geochem.: explor. environ., anal.,geochemistry: exploration, environment, analysis
geochim. cosmochim. acta,geochimica et cosmochimica acta
geol geofiz,geologiya i geofizika
geomicrobiol. j.,geomicrobiology journal
glass ceram.,glass and ceramics
glass phys. chem,glass physics and chemistry
glass res.,glass research
glass sci. technol.,glass science and technology
glass technol.,glass technology
global biogeochem. cycles,global biogeochemical cycles
global j. pure appl. sci.,global journal of pure and applied sciences
glycoconjugate j.,glycoconjugate journal
green chem.,greem chemistry
ground water monit. rem.,ground water monitoring and remediation
handb. exp. pharmacol.,handbook of experimental pharmacology
hazard. waste hazard. mater.,hazardous waste and hazardous materials
health phys.,health physics
heat mass transfer.,heat and mass transfer
heat treat. met.,heat treatment of metals
heiv. chim. acta,heivetica chimica acta
heteroat. chem,heteroatom chemistry
heterocycl. commun.,heterocyclic communications
heterogen. chem. rev.,heterogeneous chemistry reviews
high energ. chem.,high energy chemistry
high perform. polym.,high performance polymers
high temp. mater. processes (london),high temperature materials and processes
high temp. mater. processes (new york),high temperature material processes
holz roh werkst.,holz als roh und werkstoff
hoppe-seyler's z. physiol. chem.,hoppe-seyler's zeitschrift fur physiologische chemie
hrc j. high resolut. chromatogr.,hrc journal of high resolution chromatography
hung. j. ind. chem.,hungarian journal of industrial chemistry
hydrocarbon process., int. ed.,hydrocarbon processing, international edition
hyperfine interact.,hyperfine interactions
i, 
ieee sens. j.,ieee sensors journal
ind. diamond rev.,industrial diamond review
ind. eng. chem. fundam.,industrial and engineering chemistry research fundamentals
ind. eng. chem. res.,industrial and engineering chemistry research
indian j. biochem. biophys.,indian journal of biochemistry and biophysics
indian j. chem. technol.,indian journal of chemical technology
indian j. chem., sect a,indian journal of chemistry section a: inorganic, bio-inorganic, physical, theoretical and analytical chemistry
indian j. chem., sect b,indian journal of chemistry section b: organic chemistry including medicinal chemistry
indian j. eng. mater. sci.,indian journal of engineering and materials science
indian j. heterocycl. chem.,indian journal of heterocyclic chemistry
indian j. pure appl. phys.,indian journal of pure and applied physics
indian j. technol.,indian journal of technology
infrared phys. technol.,infrared physics and technology
ing. quim.,ingeniera quimica (madrid)
inorg. chem.,inorganic chemistry
inorg. chem. commun.,inorganic chemistry communications
inorg. chim. acta,inorganica chimica acta
inorg. mater.,inorganic materials
inorg. react. mech.,inorganic reaction mechanisms
inorg. synth.,inorganic syntheses
insect biochem. mol. biol.,insect biochemisry and molecular biology
instrum sci. technol.,instrumentation science and technology
int. biodeterior. biodegrad.,international biodeterioration and biodegradation
int. data ser., sel. data mixtures, ser. a,international data series, selected data on mixtures, series a
int. j. adhes. adhes.,international journal of adhesion and adhesives
int. j. biochem.,international journal of biochemistry
int. j. biochem. cell biol.,international journal of biochemistry and cell biology
int. j. bio-chromatogr.,international journal of biochromatography
int. j. biol. macromol.,international journal of biological macromolecules
int. j. cast met. res.,international journal of cast metals research
int. j. chem. kinet.,international journal of chemical kinetics
int. j. environ. anal. chem.,international journal of environment analytical chemistry
int. j. fatigue,international journal of fatigue
int. j. heat fluid flow,international journal of heat and fluid flow
int. j. heat mass transfer,international journal of heat and mass transfer
int. j. hydrogen energy,international journal of hydrogen energy
int. j. immunopharmacol,international journal of immunopharmacology
int. j. inorg. mater.,international journal of inorganic materials
int. j. mass spectrom.,international journal of mass spectrometry
int. j. mass spectrom. ion processes,international journal of mass spectrometry and ion processes
int. j. miner. process.,international journal of mineral processing
int. j. mod phys b,international journal of modern physics b
int. j. multiphase flow,international journal of multiphase flow
int. j. numer. methods fluids,international journal for numerical methods in fluids
int. j. oncol.,international journal of oncology
int. j. pept. protein res.,international journal of peptide and protein research
int. j. pharm.,international journal of pharmaceutics
int. j. phytorem.,international journal of phytoremediation
int. j. plast.,international journal of plasticity
int. j. polym. anal. charact.,international journal of polymer analysis and characterization
int. j. polymer. mater.,international journal of polymeric materials
int. j. powder metall.,international journal of powder metallurgy
int. j. quantum chem,international journal of quantum chemistry
int. j. radiat biol.,international journal of radiation biology
int. j. refract. met. hard mater.,international journal of refractory metals and hard materials
int. j. self-propag. high-temp synth.,international journal of self-propagating high-temperature synthesis
int. j. thermophys.,international journal of thermophysics
int. mater. rev.,international materials reviews
int. polym. proc.,international polymer processing
int. rev. phys. chem.,international reviews in physical chemistry
interface sci.,interface science
internet j. chem.,internet journal of chemistry
internet j. vib. spectro.,internet journal of vibrational spectroscopy
inz. chem. procesowa,inzynieria chemiczna i procesowa
ironmaking steelmaking,ironmaking and steelmaking
isij int.,isij international
isr. j. chem.,israel journal of chemistry
j. adhes.,journal of adhesion
j. adhes. sci. technol.,journal of adhesion science and technology
j. adv. mater.,journal of advanced materials
j. aerosol sci,journal of aerosol science
j. agric. food. chem.,journal of agricultural and food chemistry
j. air waste manage. assoc.,journal of the air and waste management association
j. alloys compd.,journal of alloys and compounds
j. am. ceram. soc.,journal of the american ceramic society
j. am. chem. soc.,journal of the american chemical society
j. am. oil chem. soc.,journal of the american oil chemists society
j. am. soc. brew. chem.,journal of the american society of brewing chemists
j. am. soc. mass. spectrom.,journal of the american society for mass spectrometry
j. amer. chem. soc.,journal of the american chemical society
j. anal. appl. pyrolysis,journal of analytical and applied pyrolysis
j. anal. at. spectrom.,journal of analytical atomic spectrometry
j. anal. chem.,journal of analytical chemistry
j. anal. toxicol.,journal of analytical toxicology
j. antibiot.,journal of antibiotics
j. antimicrob. chemother.,journal of antimicrobial chemotherapy
j. aoac int.,journal of aoac international
j. appl. bacteriol.,journal of applied bacteriology
j. appl. biomater.,journal of applied biomaterials
j. appl. crystallogr.,journal of applied crystallography
j. appl. electrochem.,journal of applied electrochemistry
j. appl. phycol.,journal of applied phycology
j. appl. phys.,journal of applied physics
j. appl. polym. sci.,journal of applied polymer science
j. appl. spectrosc.,journal of applied spectroscopy
j. appl. toxicol.,journal of applied toxicology
j. asian nat. prod. res.,journal of asian natural products research
j. autom. chem.,journal of automatic chemistry
j. autom. methods manage. chem.,journal of automated methods & management in chemistry
j. bacteriol.,journal of bacteriology
j. bioact. compat. polym.,journal of bioactive and bompatible polymers
j. biochem.,journal of biochemistry
j. biochem. bioph. methods,journal of biochemical and biophysical methods
j. biol. chem.,journal of biological chemistry
j. biol. inorg. chem.,journal of biological inorganic chemistry
j. biolumin. chemilumin.,journal of bioluminescence and chemiluminescence
j. biomater. appl.,journal of biomaterials applications
j. biomater. sci., polym. ed.,journal of biomaterials science polymer edition
j. biomed. mater. res.,journal of biomedial materials research
j. biomol. nmr,journal of biomolecular nmr
j. biomol. struct. dyn.,journal of biomolecular structure and dynamics
j. biotechnol.,journal of biotechnology
j. can. pet. technol.,journal of canadian petroleum technology
j. carbohydr. chem.,journal of carbohydrate chemistry
j. cardiovasc. pharmacol.,journal of cardiovascular pharmacology
j. catal.,journal of catalysis
j. cell biol.,journal of cell biology
j. cell sci.,journal of cell science
j. cell. biochem.,journal of cellular biochemistry
j. cell. physiol.,journal of cellular physiology
j. ceram. soc. jpn.,journal of the ceramic society of japan
j. chem. crystallogr.,journal of chemical crystallography
j. chem. ecol.,journal of chemical ecology
j. chem. educ.,journal of chemical education
j. chem. eng. data,journal of chemical and engineering data
j. chem. eng. jpn.,journal of chemical engineering of japan
j. chem. inf. comput. sci.,journal of chemical information and computer science
j. chem. neuroanat.,journal of chemical neuroanatomy
j. chem. phys.,journal of chemical physics
j. chem. res., synop .,journal of chemical research synopsis
j. chem. soc.,journal of the chemical society
j. chem. soc. pak.,journal of the chemical society of pakistan
j. chem. soc., chem. commun.,journal of the chemical society, chemical communications
j. chem. soc., dalton trans.,journal of the chemical society, dalton transactions
j. chem. soc., faraday trans.,journal of the chemical society, faraday transactions
j. chem. soc., perkin trans. 1,journal of the chemical society, perkin transactions 1
j. chem. soc., perkin trans. 2,journal of the chemical society, perkin transactions 2
j. chem. technol. biotechnol.,journal of chemical technology and biotechnology
j. chem. thermodyn.,journal of chemical thermodynamics
j. chemom.,journal of chemometrics
j. chim. phys. phys.- chim. biol.,journal de chimie physique et de physico-chimie biologique
j. chin. chem. soc.,journal of the chinese chemical society
j. chin. inst. chem. eng,,journal of the chinese institute of chemical engineers
j. chromatogr.,journal of chromatography
j. chromatogr. a,journal of chromatography a
j. chromatogr. b,journal of chromatography b
j. chromatogr. sci.,journal of chromatographic science
j. clin. endocrinol. metab.,journal of clinical endocrinology and metabolism
j. clin. microbiol.,journal of clinical microbiology
j. cluster sci.,journal of cluster science
j. coat. technol.,journal of coatings technology
j. colloid interface sci.,journal of colloid and interface science
j. comb. chem.,journal of combinatorial chemistry
j. compos. mater.,journal of composite materials
j. compos. tech. res.,journal of composites technology and research
j. comput. aided mater. des.,journal of computer-aided materials design
j. comput. aided mol. des.,journal of computer-aided molecular design
j. comput. chem.,journal of computational chemistry
j. contam. hydrol.,journal of contaminant hydrology
j. controlled release,journal of controlled release
j. coord. chem.,journal of coordination chemistry
j. cryst. growth,journal of crystal growth
j. dairy sci.,journal of dairy science
j. dispersion sci. technol.,journal of dispersion science and technology
j. elastomers plast.,journal of elastomers and plastics
j. electroanal. chem.,journal of electroanalytical chemistry
j. electroceram.,journal of electroceramics
j. electrochem. soc.,journal of the electrochemical society
j. electron microsc.,journal of electron microscopy
j. electron. mater.,journal of electronic materials
j. electron. spectrosc. relat. phenom.,journal of electron spectroscopy and related phenomena
j. endocrinol.,journal of endocrinology
j. endotoxin res.,journal of endotoxin research
j. eng. mater. technol.,journal of engineering materials and technology
j. environ. biol.,journal of environment biology
j. environ. eng.,journal of environment engineering
j. environ. health,journal of environment health
j. environ. manage.,journal of environment management
j. environ. monit.,journal of environmental monitoring
j. environ. qual.,journal of environment quality
j. environ. radioact.,journal of environment radioactivity
j. environ. sci. health., part a,journal of environment science and health, part a environmental science
j. environ. sci. health., part b,journal of environment science and health, part b pesticides
j. enzym inhib.,journal of enzyme inhibition
j. essent. oil res.,journal of essential oil research
j. ethnopharmacol.,journal of ethnopharmacology
j. eur. ceram. soc.,journal of the european ceramic society
j. exp. biol.,journal of experimental biology
j. exp. bot.,journal of experimental botany
j. exposure anal. environ. epidemiol.,journal of exposure analysis and environment epidemiology
j. ferment. bioeng.,journal of fermentation and bioengineering
j. fire sci.,journal of fire sciences
j. fluid mech.,journal of fluid mechanics
j. fluids eng.,journal of fluids engineering
j. fluorine chem.,journal of fluorine chemistry
j. food biochem.,journal of food biochemistry
j. food eng.,journal of food engineering
j. food lipids,journal of food lipids
j. food prot.,journal of food protection
j. food sci.,journal of food science
j. gen. appl. microbiol.,journal of general and applied microbiology
j. gen. microbiol.,journal of general microbiology
j. hazard. mater.,journal of hazardous materials
j. heat transfer,journal of heat transfer
j. heterocycl. chem.,journal of heterocyclic chemistry
j. high. resolut. chromatogr.,journal of high resolution chromatography
j. histochem. cytochem.,journal of histochemistry and cytochemistry
j. hypertens.,journal of hypertension
j. imaging sci. technol.,journal of imaging science and technology
j. inclusion phenom. mol. recognit. chem.,journal of inclusion phenomena and molecular recognition in chemistry
j. ind. microbiol.,journal of industrial microbiology
j. ind. microbiol. biotechnol.,journal of industrial microbiology and biotechnology
j. indian chem. soc.,journal of the indian chemical society
j. inorg. biochem.,journal of inorganic biochemistry
